AP1,AP2,AP3,AP4,AP5,AP6,X,Y,Z
-69,-64,-72,-60,-66,-69,3.048,9.144,4.572
-64,-65,-62,-60,-66,-69,3.6576,9.144,4.572
-64,-65,-62,-60,-66,-69,4.2672,9.144,4.572
-64,-65,-62,-60,-66,-69,4.8768,9.144,4.572
-64,-65,-62,-60,-66,-69,5.4864,9.144,4.572
-72,-74,-73,-77,-67,-69,6.096,9.144,4.572
-73,-69,-80,-54,-72,-71,6.7056,9.144,4.572
-73,-69,-80,-54,-72,-71,7.3152,9.144,4.572
-73,-69,-80,-54,-72,-71,7.9248,9.144,4.572
-73,-72,-76,-68,-73,-73,8.5344,9.144,4.572
-66,-68,-65,-62,-65,-60,9.144,9.144,4.572
-70,-68,-65,-62,-65,-60,9.7536,9.144,4.572
-70,-68,-65,-62,-65,-60,10.0584,9.144,4.572
-74,-65,-64,-65,-63,-59,1.8288,9.7536,4.572
-65,-64,-60,-65,-66,-67,2.4384,9.7536,4.572
-64,-67,-63,-61,-60,-70,3.048,9.7536,4.572
-64,-67,-63,-61,-60,-70,3.6576,9.7536,4.572
-64,-68,-62,-61,-67,-71,4.2672,9.7536,4.572
-63,-67,-62,-62,-68,-72,4.8768,9.7536,4.572
-67,-70,-72,-49,-71,-64,5.4864,9.7536,4.572
-70,-66,-73,-66,-63,-64,6.096,9.7536,4.572
-70,-66,-73,-66,-63,-64,6.7056,9.7536,4.572
-70,-65,-72,-66,-62,-63,7.3152,9.7536,4.572
-71,-64,-70,-66,-61,-62,7.9248,9.7536,4.572
-71,-70,-58,-70,-68,-61,8.5344,9.7536,4.572
-71,-70,-59,-64,-81,-63,9.144,9.7536,4.572
-76,-73,-54,-58,-69,-60,9.7536,9.7536,4.572
-76,-73,-54,-58,-69,-60,10.0584,9.7536,4.572
-75,-72,-54,-57,-68,-61,0,10.3632,4.572
-73,-62,-57,-62,-61,-67,0.6096,10.3632,4.572
-73,-62,-57,-62,-61,-67,1.2192,10.3632,4.572
-69,-64,-58,-70,-63,-68,1.8288,10.3632,4.572
-68,-63,-56,-70,-63,-67,2.4384,10.3632,4.572
-64,-64,-59,-57,-63,-68,3.048,10.3632,4.572
-63,-63,-59,-57,-64,-67,3.6576,10.3632,4.572
-56,-66,-62,-56,-64,-67,4.2672,10.3632,4.572
-56,-66,-74,-65,-55,-72,4.8768,10.3632,4.572
-66,-66,-74,-65,-55,-72,5.4864,10.3632,4.572
-62,-64,-75,-54,-78,-63,6.096,10.3632,4.572
-59,-71,-68,-59,-73,-70,6.7056,10.3632,4.572
-60,-70,-67,-59,-73,-70,7.3152,10.3632,4.572
-60,-70,-75,-67,-70,-68,7.9248,10.3632,4.572
-71,-67,-63,-58,-68,-60,8.5344,10.3632,4.572
-82,-63,-63,-67,-67,-55,9.144,10.3632,4.572
-81,-62,-63,-67,-64,-55,9.7536,10.3632,4.572
-79,-67,-69,-69,-63,-58,10.0584,10.3632,4.572
-72,-61,-59,-59,-66,-60,0,10.9728,4.572
-72,-61,-59,-59,-66,-55,0.6096,10.9728,4.572
-68,-68,-65,-67,-57,-55,1.2192,10.9728,4.572
-66,-63,-62,-59,-60,-61,1.8288,10.9728,4.572
-65,-62,-63,-59,-61,-61,2.4384,10.9728,4.572
-81,-53,-67,-70,-77,-61,3.048,10.9728,4.572
-70,-68,-79,-58,-59,-61,3.6576,10.9728,4.572
-70,-69,-78,-58,-59,-61,4.2672,10.9728,4.572
-71,-67,-66,-57,-71,-67,4.8768,10.9728,4.572
-70,-69,-78,-67,-62,-69,5.4864,10.9728,4.572
-59,-74,-69,-78,-62,-69,6.096,10.9728,4.572
-59,-74,-69,-78,-62,-69,6.7056,10.9728,4.572
-55,-62,-68,-54,-67,-69,7.3152,10.9728,4.572
-56,-62,-76,-54,-70,-71,7.9248,10.9728,4.572
-55,-62,-76,-54,-70,-71,8.5344,10.9728,4.572
-59,-67,-68,-54,-60,-76,9.144,10.9728,4.572
-58,-66,-68,-54,-61,-76,9.7536,10.9728,4.572
-57,-65,-68,-54,-61,-76,10.0584,10.9728,4.572
-57,-65,-68,-54,-61,-76,10.0584,11.5824,4.572
-55,-65,-69,-58,-70,-75,9.7536,11.5824,4.572
-61,-65,-63,-58,-66,-59,9.144,11.5824,4.572
-60,-64,-63,-58,-66,-59,8.5344,11.5824,4.572
-60,-64,-63,-58,-66,-59,7.9248,11.5824,4.572
-66,-64,-73,-55,-61,-62,7.3152,11.5824,4.572
-66,-67,-60,-60,-62,-61,6.7056,11.5824,4.572
-66,-66,-70,-58,-77,-75,6.096,11.5824,4.572
-64,-70,-75,-60,-79,-74,5.4864,11.5824,4.572
-72,-75,-67,-58,-71,-77,4.8768,11.5824,4.572
-54,-71,-73,-49,-74,-72,9.7536,12.192,4.572
-65,-66,-80,-60,-64,-66,9.144,12.192,4.572
-63,-73,-71,-64,-76,-68,8.5344,12.192,4.572
-63,-73,-71,-64,-76,-68,7.9248,12.192,4.572
-64,-66,-74,-58,-59,-64,7.3152,12.192,4.572
-63,-67,-74,-58,-58,-64,6.7056,12.192,4.572
-64,-66,-73,-58,-59,-65,6.096,12.192,4.572
-66,-63,-65,-67,-78,-66,5.4864,12.192,4.572
-67,-70,-65,-55,-69,-73,4.8768,12.192,4.572
-76,-67,-65,-69,-68,-69,4.2672,12.192,4.572
-78,-68,-65,-69,-67,-68,3.6576,12.192,4.572
-76,-67,-59,-54,-67,-69,3.048,12.192,4.572
-72,-67,-60,-70,-63,-75,2.4384,12.192,4.572
-67,-61,-60,-56,-70,-60,1.8288,12.192,4.572
-68,-66,-58,-61,-80,-74,1.2192,12.192,4.572
-66,-67,-56,-61,-82,-73,0.6096,12.192,4.572
-67,-71,-60,-60,-61,-62,0,11.5824,4.572
-65,-60,-67,-53,-70,-61,0.6096,11.5824,4.572
-65,-59,-67,-52,-69,-60,1.2192,11.5824,4.572
-66,-60,-66,-53,-69,-61,1.8288,11.5824,4.572
-66,-60,-66,-53,-69,-61,2.4384,11.5824,4.572
-64,-61,-66,-52,-70,-61,3.048,11.5824,4.572
-63,-62,-66,-53,-72,-62,3.6576,11.5824,4.572
-69,-58,-66,-61,-68,-67,4.2672,11.5824,4.572
